"Region, subregion, country or area *",Reference date (as of 1 July),age0,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75,age80,age85,age90,age95,age100
Burundi,2020,1016.42,902.51,751.53,607.97,523.64,497.98,442.25,335.47,227.38,158.36,140.10,123.68,106.16,73.55,39.25,24.53,13.29,5.32,1.32,0.20,0.01
Comoros,2020,60.60,56.05,49.96,44.07,39.18,35.14,31.46,26.60,21.22,17.18,14.14,11.57,9.07,6.41,3.84,2.54,1.31,0.48,0.11,0.02,0.00
Djibouti,2020,48.96,48.41,39.92,40.99,41.30,40.24,41.12,37.15,31.46,24.85,20.60,17.02,12.86,9.20,7.11,4.40,2.27,0.88,0.23,0.03,0.00
Eritrea,2020,242.29,233.03,238.27,183.46,141.93,142.61,134.00,95.69,72.38,71.52,45.58,43.04,35.42,32.94,26.23,16.89,8.79,3.56,1.02,0.21,0.02
Ethiopia,2020,8271.18,7525.56,6854.13,6432.60,5816.17,4802.45,3757.54,3182.84,2488.42,2033.23,1660.96,1316.32,1109.67,832.54,648.56,400.73,202.97,84.73,22.46,3.43,0.26
Kenya,2020,3486.02,3461.28,3340.91,2988.80,2617.39,2190.50,2030.04,1743.03,1397.05,1088.43,821.98,627.84,477.35,351.13,220.03,116.87,65.20,24.57,4.11,0.25,0.01
Madagascar,2020,2030.87,1808.09,1654.97,1503.05,1340.89,1115.39,916.56,770.65,658.09,543.23,438.69,352.84,277.27,204.54,122.47,75.76,41.25,16.73,4.31,0.68,0.06
Malawi,2020,1446.93,1356.96,1275.21,1088.19,924.78,782.15,662.67,510.02,414.08,325.49,254.52,197.40,153.83,115.06,91.02,57.68,28.72,9.47,1.63,0.11,0.00
Mauritius,2020,31.40,33.76,39.52,46.41,46.61,51.09,44.15,43.02,49.29,41.15,42.69,45.94,38.92,33.49,24.80,14.42,9.49,5.28,2.15,0.62,0.10
Mayotte,2020,17.78,17.45,17.23,14.62,12.31,9.79,9.64,8.96,7.83,6.12,4.67,3.57,2.71,2.10,1.49,1.10,0.67,0.38,0.17,0.06,0.02
Mozambique,2020,2565.78,2273.23,2027.94,1780.98,1473.21,1210.80,1001.85,848.39,686.05,557.61,453.16,354.69,275.27,218.98,162.73,103.29,52.68,17.56,2.80,0.18,0.01
Réunion,2020,31.95,33.21,33.40,34.76,31.23,27.60,26.40,27.61,30.97,31.22,33.74,31.16,25.64,21.48,14.73,10.84,7.90,4.75,2.29,1.01,0.11
Rwanda,2020,935.21,834.77,777.26,680.68,597.07,524.87,493.75,443.63,316.68,243.67,178.89,186.19,135.76,102.80,65.27,40.79,16.26,9.94,1.11,0.19,0.00
Seychelles,2020,3.87,3.87,3.63,3.15,3.09,3.35,3.23,3.30,3.44,3.54,3.35,3.13,2.44,1.58,0.87,0.90,0.62,0.35,0.15,0.03,0.00
Somalia,2020,1402.53,1186.56,1053.59,905.61,765.97,582.56,438.18,338.66,287.96,255.83,212.24,167.54,132.50,101.20,68.86,40.09,20.31,6.85,1.80,0.28,0.03
South Sudan,2020,842.53,759.62,682.14,594.88,528.07,449.61,372.43,295.63,246.90,204.38,169.47,136.21,105.90,76.86,59.84,38.23,19.04,7.09,1.65,0.23,0.02
Uganda,2020,3857.59,3498.88,3072.37,2620.84,2204.51,1831.06,1483.16,1174.83,919.35,705.75,550.34,416.79,312.64,234.34,156.62,94.37,42.32,15.96,2.55,0.15,0.01
United Republic of Tanzania,2020,4813.93,4262.11,3785.39,3192.43,2622.05,2289.01,1956.29,1634.57,1345.48,1072.70,841.85,654.84,503.46,369.65,271.83,162.15,77.36,24.23,3.61,0.18,0.01
Zambia,2020,1456.97,1346.21,1205.81,1059.26,880.14,729.75,611.83,507.13,410.79,307.99,223.20,172.86,130.47,95.90,67.56,42.95,22.54,8.06,1.43,0.10,0.00
Zimbabwe,2020,1042.89,1101.20,958.36,822.19,705.69,601.59,564.57,484.10,397.61,280.77,210.34,173.04,140.98,113.32,72.32,56.59,30.85,11.76,2.49,0.23,0.02
Angola,2020,2871.49,2535.92,2182.67,1780.69,1458.33,1231.08,1041.43,850.12,684.93,561.29,410.85,344.80,252.68,158.69,117.39,69.35,37.90,12.65,2.80,0.32,0.03
Cameroon,2020,2037.88,1848.49,1647.54,1420.20,1206.12,1064.78,930.21,768.73,600.75,470.25,368.26,286.65,219.80,167.53,115.95,70.17,33.83,10.15,1.43,0.07,0.00
Central African Republic,2020,366.18,346.75,332.45,298.24,241.01,178.51,138.41,112.31,92.72,80.03,67.03,55.44,44.94,33.49,22.57,14.97,7.70,2.54,0.42,0.03,0.00
Chad,2020,1454.93,1256.68,1089.60,925.95,765.78,622.40,494.22,388.79,304.12,237.35,184.64,151.88,125.26,98.56,60.23,37.34,18.95,7.03,1.71,0.25,0.02
Congo,2020,406.58,381.73,340.01,285.01,237.40,198.55,176.63,163.32,146.92,121.22,95.15,71.01,51.04,36.61,25.06,15.23,7.36,2.27,0.33,0.02,0.00
Democratic Republic of the Congo,2020,7835.54,6771.48,5721.67,4711.82,3860.59,3223.40,2681.12,2225.46,1832.63,1508.78,1235.50,991.05,774.25,581.47,429.31,268.75,134.89,49.61,12.06,1.72,0.14
Equatorial Guinea,2020,98.75,84.83,70.99,59.78,57.82,56.03,52.58,39.41,26.86,19.57,16.75,12.07,9.76,7.75,4.74,3.00,1.42,0.45,0.06,0.00,0.00
Gabon,2020,158.49,138.56,113.81,96.13,89.12,92.89,92.91,76.38,58.26,46.79,37.27,27.80,20.73,16.12,11.95,8.58,4.88,1.87,0.32,0.02,0.00
Sao Tome and Principe,2020,15.69,15.17,14.41,12.37,9.23,7.39,6.98,6.21,5.54,3.86,3.74,2.88,2.29,1.51,0.94,0.60,0.46,0.18,0.07,0.01,0.00
