"Region, subregion, country or area *",Reference date (as of 1 July),age0,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75,age80,age85,age90,age95,age100
Burundi,2020,1037.42,916.098,756.835,608.958,519.132,488.832,432.923,328.904,219.323,142.566,119.69,108.502,95.127,64.79,31.125,17.232,8.578,3.114,0.645,0.067,0.003
Comoros,2020,62.913,58.084,51.713,45.52,40.399,36.124,32.215,27.102,21.44,17.198,13.988,11.192,8.461,5.717,3.307,1.975,0.939,0.3,0.06,0.006,0
Djibouti,2020,50.198,49.542,48.619,49.783,48.91,46.883,45.168,38.975,35.331,29.285,21.801,18.653,13.473,8.806,6.826,3.997,1.892,0.68,0.153,0.017,0.001
Eritrea,2020,252.785,243.666,248.424,190.468,143.318,144.383,135.279,95.791,68.861,68.077,42.518,40.814,32.998,26.962,20.998,12.969,6.408,2.203,0.53,0.089,0.007
Ethiopia,2020,8520.306,7720.508,6999.073,6543.197,5930.683,4889.739,3761.349,3091.148,2445.523,2071.48,1567.789,1159.002,946.594,735.747,539.874,340.207,168.831,67.383,16.275,1.946,0.181
Kenya,2020,3558.343,3508.267,3395.31,3021.861,2619.202,2167.181,1992.648,1704.425,1362.401,1055.166,782.098,573.691,410.863,279.481,161.035,76.404,36.529,11.823,1.702,0.095,0.002
Madagascar,2020,2078.553,1845.421,1675.821,1509.087,1334.852,1107.606,913.174,770.524,655.981,530.554,419.777,328.458,252.005,181.397,102.248,59.377,32.248,13.229,3.62,0.623,0.064
Malawi,2020,1477.013,1381.621,1286.629,1088.019,913.937,756.656,629.76,483.574,392.707,304.464,226.793,167.435,123.788,87.563,61.748,33.798,14.084,3.889,0.528,0.03,0.001
Mauritius,2020,32.65,35.076,41.058,48.18,47.498,51.611,44.292,43.654,50.064,41.592,42.44,44.276,36.211,29.369,19.771,10.218,5.935,2.625,0.776,0.165,0.019
Mayotte,2020,18.298,17.95,17.707,15.011,12.573,8.951,7.499,6.88,7.163,6.246,4.522,3.399,2.57,1.997,1.435,0.973,0.578,0.28,0.105,0.021,0.001
Mozambique,2020,2590.85,2287.928,2026.294,1760.244,1439.343,1171.134,959.782,778.716,601.645,443.976,329.461,262.86,199.764,149.652,99.486,55.335,24.032,6.737,0.935,0.058,0.003
Réunion,2020,32.894,34.341,34.591,36.106,32.613,26.83,22.715,22.731,26.509,28.629,31.613,28.901,24.04,19.396,13.101,8.863,5.369,2.806,0.958,0.278,0.017
Rwanda,2020,949.898,841.15,774.505,673.347,586.489,502.608,484.832,390.344,292.448,217.295,175.529,187.841,123.474,83.119,44.196,24.567,9.437,5.665,0.575,0.109,0.003
Seychelles,2020,4.097,4.095,3.809,3.278,3.269,3.717,3.872,4.079,3.994,3.897,3.469,3.032,2.397,1.491,0.78,0.658,0.304,0.147,0.046,0.007,0.001
Somalia,2020,1423.977,1202.295,1065.756,912.641,768.307,577.039,430.402,327.158,273.047,237.055,195.05,159.138,130.379,98.72,65.719,35.444,15.718,4.917,1.15,0.161,0.014
South Sudan,2020,864.864,778.668,698.291,606.589,534.1,451.174,371.741,294.345,245.028,200.529,162.73,127.112,95.475,66.705,52.395,32.169,14.897,4.974,1.081,0.138,0.009
Uganda,2020,3938.451,3561.034,3119.806,2636.412,2123.674,1713.437,1365.364,1077.75,846.052,662.255,515.252,370.051,255.09,172.247,104.873,56.142,21.328,6.484,0.843,0.043,0.001
United Republic of Tanzania,2020,4924.67,4361.607,3869.194,3242.031,2640.504,2294.68,1946.604,1624.465,1339.311,1063.236,818.935,611.016,444.732,304.962,200.387,106.873,44.498,11.856,1.48,0.065,0.002
Zambia,2020,1489.489,1370.881,1222.79,1062.327,866.795,703.692,581.647,484.587,397.443,297.666,210.398,154.799,107.083,70.382,45.2,24.257,10.375,2.805,0.37,0.019,0.001
Zimbabwe,2020,1054.557,1109.514,962.699,816.706,672.142,503.568,430.306,388.501,339.915,239.524,179.077,135.632,99.465,71.649,42.336,29.113,13.034,3.697,0.54,0.033,0.002
Angola,2020,2923.514,2568.244,2166.595,1751.828,1424.241,1192.393,999.332,808.851,645.763,520.75,376.364,332.588,229.285,145.237,95.124,49.865,22.04,7.226,1.458,0.161,0.011
Cameroon,2020,2077.822,1881.835,1672.667,1436.047,1213.879,1067.009,930.61,770.292,602.489,468.356,360.872,272.697,200.605,145.366,93.962,52.653,22.958,6.152,0.767,0.036,0.001
