LocationName,Year,Sex,AreaType,Total,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+
Burundi,2015,Female,Rural,4879.894253,895.9990242,723.7557958,569.2583925,479.469957,457.0138888,413.7352537,327.6123574,238.9150058,175.5961118,151.822093,127.3706514,109.9663988,81.83939522,49.71861584,35.62729134,22.8085576,19.3854624
Comoros,2015,Female,Rural,274.2311728,42.40436506,37.35603544,32.10078444,26.15250956,22.32572503,21.30516733,20.15446065,16.416269,13.64442293,11.05282676,9.45873375,7.17933072,5.565524237,3.43547075,2.737822698,1.63518404,1.306540405
Djibouti,2015,Female,Rural,102.2323509,13.28112227,12.03522779,10.39941665,9.245374085,9.421560812,9.075253446,7.084174973,6.784013675,5.494347833,4.720484313,4.101075524,3.200322589,2.423120139,2.032752645,1.404852273,0.870084048,0.659167816
Eritrea,2015,Female,Rural,2619.717098,439.1700472,386.4186095,316.6010998,244.1411009,222.4049308,216.7845498,193.5001768,150.5374371,109.2992834,86.6767151,72.27071841,58.40237988,44.75992952,35.38027945,22.17316336,12.49247142,8.704205782
Ethiopia,2015,Female,Rural,39728.3449,6237.118645,5683.407882,5139.264837,4465.02504,3636.28725,2884.033243,2507.223815,1982.345548,1661.791873,1354.210221,1091.690333,929.3592818,712.6926252,592.2072195,409.8328088,247.401979,194.4523003
Kenya,2015,Female,Rural,17545.71424,2755.804646,2584.813643,2253.099301,1788.601912,1405.58291,1328.737516,1209.104237,984.1666213,755.0506719,590.2062951,506.0285413,437.7971897,355.7445749,244.6586687,149.4888957,105.6101976,91.21841867
Madagascar,2015,Female,Rural,7816.036653,1315.359164,1123.706918,968.0499447,843.1907024,700.3641668,572.0386509,448.7633705,399.5670877,335.5746994,281.8408785,240.1551155,192.0895311,153.1836602,97.22807788,68.40500854,42.25206634,34.26761004
Malawi,2015,Female,Rural,7282.589502,1236.559158,1124.696054,920.6071084,775.600843,660.32147,525.6416311,426.9849727,367.3780353,256.9369386,198.0472967,182.7839289,170.1090841,143.8235582,127.7638037,81.94831896,50.09337305,33.29392756
Mauritius,2015,Female,Rural,382.3928041,22.49083401,23.57187069,27.8304855,29.36698396,31.86766006,29.51243468,28.60635609,30.39437455,26.12433554,25.97394937,27.77344194,23.31475784,18.83134781,14.51108274,9.153209065,6.229722175,6.839958088
Mayotte,2015,Female,Rural,62.41898487,9.542570398,10.93300208,9.030334037,5.301907947,3.790999241,3.532212165,3.578925584,4.367577349,3.6511312,2.71114925,1.857041828,1.330553821,1.006834259,0.678860742,0.491921036,0.284747325,0.329216607
Mozambique,2015,Female,Rural,9483.521961,1662.872284,1459.825202,1178.942129,904.2877809,764.9787559,674.5469145,553.6591563,465.8429517,384.3406544,328.3749189,285.5156654,241.3588482,193.3472323,151.9625488,108.9525541,70.26720772,54.44715681
Réunion,2015,Female,Rural,23.05293371,1.906248995,1.92805514,1.871812658,1.580218555,1.535931414,1.645594921,1.521764993,1.369733057,1.359051834,1.666133648,1.67005991,1.381123383,1.131109268,0.756525027,0.586730009,0.48715563,0.655685264
Rwanda,2015,Female,Rural,4733.870545,728.7206202,672.9842401,568.4463537,552.0818948,361.3889285,380.961075,352.4521418,270.3362692,204.2361267,152.4317066,143.344854,114.3259651,95.78256164,62.34283622,32.11656423,20.11163962,21.80676761
Seychelles,2015,Female,Rural,21.61222081,1.816679641,1.579396541,1.558533486,1.44548851,1.439057145,1.480588786,1.567239198,1.572899157,1.637130688,1.662710988,1.60727648,1.241098673,0.809705374,0.62964423,0.499049028,0.451184531,0.614538351
Somalia,2015,Female,Rural,3399.801252,675.2785479,566.3387582,445.812833,338.6949089,248.6001762,202.0674897,172.0772314,147.8070956,127.7546752,111.5051386,96.99006844,80.86731021,66.42820725,49.81662868,33.38336748,21.72529627,14.65351924
South Sudan,2015,Female,Rural,4942.806495,783.7661135,690.2557895,607.9108516,521.4197804,442.2817695,371.1877187,302.7423322,257.205803,218.6373837,184.6606786,152.7284775,121.108372,92.35569648,78.87027349,58.18314238,35.1617822,24.33053023
Uganda,2015,Female,Rural,16790.36503,3221.761973,2745.389069,2263.174264,1747.830711,1416.860501,1169.670707,973.7126222,781.0781094,613.8051638,477.804509,372.6301006,295.7799964,240.7607437,184.4683063,134.6068993,78.28416736,72.7471876
United Republic of Tanzania,2015,Female,Rural,17841.09922,3302.417843,2901.835675,2315.718946,1658.908577,1369.803543,1203.115087,1039.906239,878.6948843,694.7425748,534.9630044,465.1767617,401.4229787,346.4003529,290.1663836,206.4773895,130.7628088,100.586169
Zambia,2015,Female,Rural,4642.783297,906.9485239,704.3712916,585.9697215,469.233606,367.5874349,314.9121596,279.838143,242.6597503,185.1624973,138.4175683,112.0556583,91.57331932,76.24944783,64.64964798,47.49326353,30.89946806,24.76179526
Zimbabwe,2015,Female,Rural,5269.536891,750.0748265,725.278376,652.9888821,562.5776162,497.6985006,465.8863867,385.5757744,277.9423694,164.4406923,116.3333534,118.1862621,133.9620318,133.3341317,95.73402323,79.92793921,57.47400106,52.121724
Angola,2015,Female,Rural,6559.809718,1134.505151,975.973056,785.5976254,624.0904514,552.0968509,490.2055399,409.6967441,319.4150613,266.8658907,232.532071,206.997291,174.2928088,140.8112187,100.9524942,72.11933084,44.06782427,29.5903084
Cameroon,2015,Female,Rural,5420.865083,877.6652264,775.2180476,670.1780989,528.8113046,468.2730618,428.5753336,365.3554894,268.983191,230.3056834,186.5228249,158.1869157,129.949334,107.6513348,90.58404765,64.71463497,41.22318951,28.66736449
Central African Republic,2015,Female,Rural,1471.72575,209.9069749,183.8694962,159.7019815,146.759796,132.4684823,125.2998454,107.2552957,86.50174476,69.59447635,56.36419395,47.61563387,41.76369935,33.92424015,26.67775497,20.5274625,13.45866828,10.03600356
Chad,2015,Female,Rural,5298.995339,978.4483437,817.2948075,682.8549904,564.4832487,473.5497086,390.2988241,316.0209999,246.0293828,193.43225,151.5599236,127.2502453,109.0539883,91.63397867,62.01536071,45.35550205,28.61142593,21.10235903
Congo,2015,Female,Rural,828.1102513,128.0125924,109.4815367,89.4133133,73.07029963,65.60263059,62.35341061,57.51780143,48.31925137,41.71125806,34.70697034,29.37850794,24.45180371,20.3459879,16.58908529,12.42610418,8.210439257,6.519258625
Democratic Republic of the Congo,2015,Female,Rural,21159.50863,3394.340843,2828.694125,2326.444058,1958.578936,1839.467452,1632.250859,1380.124853,1089.837623,945.9119739,835.9022404,740.845775,626.4717519,518.0817653,429.5602958,306.4613681,183.52107,123.0136398
Equatorial Guinea,2015,Female,Rural,239.3229352,34.56178701,29.58981014,24.37217622,21.35575661,20.95934944,19.88260263,15.01073547,10.68090302,11.64639965,13.13740025,12.82960832,10.1675764,6.257103567,3.255591748,2.398160985,1.705506625,1.512467145
