"Region, subregion, country or area *",Reference date (as of 1 July),age0,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75,age80,age85,age90,age95,age100
Burundi,2020,2053.84,1818.607,1508.36,1216.932,1042.77,986.811,875.169,664.378,446.705,300.927,259.788,232.186,201.291,138.34,70.37,41.759,21.866,8.435,1.964,0.266,0.017
Comoros,2020,123.508,114.13,101.676,89.592,79.58,71.265,63.671,53.706,42.657,34.379,28.128,22.764,17.534,12.122,7.145,4.514,2.249,0.78,0.173,0.021,0.001
Djibouti,2020,99.162,97.948,88.543,90.777,90.208,87.12,86.291,76.125,66.787,54.135,42.4,35.677,26.328,18.006,13.937,8.393,4.165,1.563,0.382,0.051,0.004
Eritrea,2020,495.07,476.7,486.693,373.932,285.247,286.989,269.281,191.483,141.245,139.597,88.101,83.849,68.421,59.906,47.223,29.859,15.2,5.761,1.548,0.294,0.028
Ethiopia,2020,16791.484,15246.064,13853.199,12975.795,11746.856,9692.189,7518.893,6273.985,4933.945,4104.708,3228.746,2475.32,2056.264,1568.29,1188.435,740.933,371.805,152.113,38.737,5.378,0.444
Kenya,2020,7044.364,6969.546,6736.223,6010.656,5236.593,4357.681,4022.692,3447.454,2759.45,2143.595,1604.073,1201.53,888.215,630.611,381.067,193.272,101.724,36.394,5.808,0.343,0.009
Madagascar,2020,4109.427,3653.51,3330.79,3012.138,2675.744,2222.992,1829.738,1541.17,1314.071,1073.787,858.467,681.298,529.275,385.933,224.722,135.141,73.493,29.957,7.933,1.305,0.128
Malawi,2020,2923.943,2738.576,2561.842,2176.211,1838.717,1538.801,1292.429,993.594,806.787,629.954,481.315,364.833,277.622,202.626,152.766,91.476,42.803,13.354,2.162,0.139,0.005
Mauritius,2020,64.048,68.838,80.576,94.588,94.111,102.698,88.439,86.669,99.352,82.738,85.134,90.215,75.135,62.855,44.574,24.639,15.427,7.907,2.924,0.781,0.119
Mayotte,2020,36.078,35.396,34.932,29.634,24.882,18.745,17.143,15.843,14.988,12.361,9.196,6.968,5.276,4.096,2.925,2.073,1.247,0.66,0.27,0.083,0.017
Mozambique,2020,5156.628,4561.154,4054.236,3541.222,2912.557,2381.938,1961.629,1627.11,1287.698,1001.59,782.62,617.547,475.03,368.632,262.22,158.625,76.714,24.3,3.738,0.237,0.01
Réunion,2020,64.839,67.553,67.994,70.868,63.842,54.43,49.114,50.337,57.479,59.847,65.357,60.058,49.683,40.874,27.831,19.703,13.273,7.558,3.251,1.288,0.129
Rwanda,2020,1885.105,1675.918,1551.766,1354.029,1183.561,1027.482,978.578,833.976,609.132,460.962,354.419,374.028,259.237,185.917,109.464,65.353,25.694,15.602,1.683,0.296,0.007
Seychelles,2020,7.967,7.966,7.438,6.428,6.363,7.068,7.105,7.381,7.436,7.437,6.819,6.158,4.841,3.068,1.645,1.56,0.928,0.493,0.198,0.036,0.005
Somalia,2020,2826.505,2388.859,2119.343,1818.247,1534.275,1159.601,868.582,665.822,561.005,492.889,407.292,326.68,262.875,199.915,134.577,75.53,36.029,11.768,2.949,0.437,0.039
South Sudan,2020,1707.392,1538.29,1380.431,1201.47,1062.165,900.787,744.174,589.979,491.926,404.911,332.202,263.323,201.377,143.56,112.23,70.396,33.934,12.064,2.729,0.363,0.026
Uganda,2020,7796.039,7059.913,6192.176,5257.248,4328.181,3544.494,2848.524,2252.576,1765.404,1368,1065.593,786.842,567.734,406.591,261.489,150.509,63.645,22.445,3.394,0.197,0.006
United Republic of Tanzania,2020,9738.602,8623.714,7654.58,6434.462,5262.555,4583.694,3902.89,3259.038,2684.793,2135.934,1660.783,1265.852,948.189,674.611,472.213,269.023,121.856,36.082,5.088,0.247,0.007
Zambia,2020,2946.454,2717.088,2428.598,2121.583,1746.939,1433.444,1193.475,991.719,808.231,605.658,433.597,327.662,237.554,166.281,112.763,67.202,32.916,10.863,1.803,0.121,0.005
Zimbabwe,2020,2097.448,2210.712,1921.06,1638.895,1377.829,1105.162,994.874,872.602,737.527,520.295,389.42,308.669,240.442,184.973,114.658,85.7,43.888,15.46,3.027,0.267,0.019
Angola,2020,5795.004,5104.164,4349.261,3532.518,2882.566,2423.471,2040.757,1658.972,1330.695,1082.04,787.212,677.39,481.968,303.929,212.513,119.216,59.937,19.878,4.259,0.48,0.038
Cameroon,2020,4115.703,3730.323,3320.209,2856.25,2419.998,2131.789,1860.818,1539.024,1203.235,938.608,729.131,559.346,420.4,312.899,209.912,122.822,56.789,16.301,2.193,0.11,0.004
Central African Republic,2020,738.242,697.367,667.354,597.254,482.771,357.219,277.127,224.208,182.948,156.581,129.029,103.567,80.954,58.107,37.685,23.821,11.481,3.491,0.523,0.033,0.002
Chad,2020,2930.435,2522.114,2183.878,1854.85,1535.501,1245.516,989.985,779.661,610.04,472.791,362.367,292.28,236.024,181.325,112.184,68.477,33.615,11.769,2.661,0.359,0.027
Congo,2020,821.959,770.376,684.997,572.967,476.267,397.994,353.823,326.256,293.52,242.294,188.974,138.918,97.295,67.442,43.871,25.526,11.703,3.415,0.473,0.022,0
Democratic Republic of the Congo,2020,15827.439,13659.867,11527.51,9472.51,7729.713,6439.523,5340.933,4421.401,3629.088,2976.441,2421.737,1925.266,1486.411,1099.43,789.01,479.676,232.525,81.751,18.575,2.419,0.179
Equatorial Guinea,2020,199.653,172.01,144.346,120.951,138.192,148.193,143.663,105.318,68.702,46.66,37.187,25.03,19.668,15.211,9.124,5.597,2.536,0.823,0.115,0.006,0
Gabon,2020,320.376,279.63,229.39,193.38,179.407,188.006,188.812,161.254,128.844,103.32,78.748,55.404,40.613,30.69,22.07,14.623,7.86,2.816,0.462,0.023,0
Sao Tome and Principe,2020,31.754,30.657,29.106,25.003,18.677,14.948,14.083,12.548,11.052,7.628,7.361,5.419,4.332,2.75,1.744,1.02,0.724,0.257,0.087,0.01,0.001
Botswana,2020,271.775,267.23,246.528,225.505,203.74,198.769,187.256,178.033,149.075,111.94,80.357,66.226,59.085,45.166,29.546,19.012,8.378,3.156,0.769,0.077,0.002
Eswatini,2020,143.677,142.943,147.779,129.239,112.817,100.07,82.554,78.775,60.204,44.195,29.594,22.123,19.639,16.883,13.551,9.034,4.904,1.779,0.361,0.04,0.003
Lesotho,2020,253.513,225.235,211.871,216.95,203.923,191.269,174.746,152.535,119.473,90.778,74.699,66.072,55.17,41.643,29.688,18.621,10.314,4.562,1.065,0.114,0.011
Namibia,2020,336.078,318.448,281.578,244.856,244.311,228.398,197.388,159.459,130.73,106.827,82.468,67.866,51.391,36.07,24.28,16.851,9.349,3.642,0.85,0.074,0.002
South Africa,2020,5764.945,5820.66,5495.963,4913.211,4924.091,5217.398,5374.11,4781.215,3810.04,3233.235,2692.132,2219.4,1794.715,1369.726,895.217,580.838,298.42,103.954,18.094,1.274,0.052
Benin,2020,1908.329,1688.621,1488.071,1291.415,1115.836,945.932,785.32,651.123,538.732,443.1,363.185,287.496,218.586,160.597,111.041,73.794,35.315,12.926,3.234,0.5,0.045
Burkina Faso,2020,3472.482,3079.706,2722.658,2306.885,1919.894,1588.171,1320.365,1107.668,893.047,694.086,553.579,423.911,316.842,222.035,148.021,86.216,36.133,9.873,1.579,0.126,0.001
Cabo Verde,2020,51.932,53.144,51.053,48.884,45.959,51.886,52.533,45.753,35.784,29.122,25.257,22.655,15.414,10.959,4.731,4.325,3.896,2.082,0.56,0.054,0.005
Côte d'Ivoire,2020,4131.2,3619.086,3198.933,2905.925,2538.481,2122.513,1741.072,1431.143,1185.297,932.255,738.521,598.705,474.769,347.297,214.636,127.108,54.992,14.476,1.776,0.087,0.003
Gambia,2020,409.506,352.804,299.82,257.037,228.183,200.996,160.385,122.746,97.721,76.346,65.53,50.381,34.036,25.245,19.007,11.001,4.536,1.198,0.174,0.012,0
Ghana,2020,4169.436,3888.435,3479.871,3136.85,2860.336,2538.255,2266.062,1924.356,1625.913,1405.337,1189.26,945.719,667.312,423.755,298.344,158.446,69.641,21.412,3.84,0.35,0.015
Guinea,2020,2100.111,1865.513,1687.906,1511.548,1305.025,1060.714,828.439,642.427,500.181,398.258,332.921,281.603,230.427,177.722,105.836,65.414,29.197,8.182,1.27,0.094,0.004
Guinea-Bissau,2020,305.111,277.238,242.778,207.251,180.991,161.393,138.905,115.601,87.932,68.643,51.101,41.087,33.175,27.241,15.609,9.028,3.701,1.062,0.144,0.007,0
Liberia,2020,740.493,678.323,623.08,551.945,463.072,377.781,334.305,295.503,245.405,198.791,158.075,125.753,97.312,71.158,45.007,31.448,15.002,4.52,0.667,0.037,0
Mali,2020,3605.514,3154.805,2759.052,2250.41,1775.973,1427.845,1167.473,992.982,827.089,658.872,489.221,359.898,280.058,221.233,141.233,89.85,36.676,10.714,1.791,0.138,0.007
Mauritania,2020,689.874,617.954,537.394,470.161,416.127,371.775,334.301,285.478,234.615,188.017,149.658,117.492,89.051,62.022,41.686,25.5,12.755,4.616,1.042,0.133,0.009
Niger,2020,4787.474,3970.552,3265.89,2635.235,2086.862,1630.495,1265.908,993.107,838.025,690.669,561.35,485.5,367.144,277.605,189.654,106.305,41.928,11.144,1.661,0.124,0.004
Nigeria,2020,33938.795,29913.646,25792.743,21910.447,18068.574,15108.845,13044.512,11323.538,9458.643,7578.818,5943.469,4756.702,3656.623,2601.903,1716.912,906.791,333.348,75.438,9.171,0.639,0.03
Senegal,2020,2615.341,2417.24,2098.919,1764.783,1519.042,1304.492,1110.693,940.599,741.966,589.862,467.265,367.435,285.866,219.898,145.623,93.559,45.112,13.764,2.28,0.185,0.006
Sierra Leone,2020,1158.651,1067.234,992.319,874.877,754.021,651.493,553.893,463.157,373.119,299.775,236.393,182.74,135.799,98.226,68.339,40.47,18.574,6.264,1.426,0.198,0.017
Togo,2020,1220.06,1120.121,1023.991,891.005,743.733,631.528,567.255,497.302,414.564,329.953,254.832,195.882,148.012,107.925,71.771,39.722,16.179,4.241,0.616,0.045,0
Algeria,2020,5041.518,4635.972,3821.402,2910.345,2999.837,3573.878,3727.719,3547.516,3014.029,2434.59,2061.884,1738.172,1387.342,1143.2,723.938,513.896,343.627,171.049,51.37,8.796,0.963
Egypt,2020,12697.212,12331.328,9684.339,8701.092,8416.595,8094.535,8065.175,7133.174,6040.505,4908.097,4213.235,3631.657,2961.315,2161.342,1665.619,865.361,483.976,209.595,59,10.284,0.967
Libya,2020,623.998,661.423,623.749,561.995,542.181,553.235,585.24,578.228,564.55,484.65,371.907,245.247,163.904,120.355,79.791,59.135,33.901,13.772,3.511,0.482,0.033
Morocco,2020,3325.038,3427.577,3127.603,2969.593,2874.344,3008.934,2862.559,2743.797,2360.473,2091.959,1924.565,1819.219,1567.238,1167.781,682.105,514.973,310.457,110.917,19.893,1.472,0.061
Sudan,2020,6339.078,5789.728,5322.924,4800.733,4159.388,3467.77,2799.335,2403.91,2026.888,1700.431,1424.556,1128.395,875.056,660.904,455.13,277.921,142.873,55.962,15.291,2.714,0.282
Tunisia,2020,1004.154,1013.605,853.066,786.872,821.287,904.059,928.189,985.875,846.845,725.626,711.339,650.167,538.872,423.722,250.363,173.743,119.672,61.5,16.314,3.098,0.25
Western Sahara,2020,56.47,56.124,49.832,48.537,50.165,54.82,56.162,52.553,45.719,37.075,29.218,22.733,17.632,10.742,5.094,2.518,1.317,0.481,0.121,0.016,0.001
Armenia,2020,204.987,213.872,198.453,170.477,176.497,232.427,267.191,236.762,190.759,162.329,163.255,199.398,197.081,131.321,84.343,42.4,59.254,21.8,9.083,1.329,0.216
Azerbaijan,2020,825.398,860.64,698.221,637.237,719.127,889.858,941.226,825.466,664.205,616.598,628.449,652.627,496.586,307.722,152.039,90.723,87.797,35.125,8.731,1.292,0.108
Bahrain,2020,108.054,110.081,92.954,88.901,91.684,214.986,293.461,214.272,148.286,108.435,81.177,59.054,45.12,21.452,10.958,6.86,3.957,1.315,0.509,0.06,0.007
Cyprus,2020,64.817,67.576,67.755,73.902,93.462,98.34,96.456,91.933,87.237,79.391,75.782,71.756,64.989,55.412,45.844,32.837,23.171,11.479,4.269,0.854,0.099
Georgia,2020,268.345,284.818,253.462,217.595,233.413,267.285,289.585,275.491,263.948,253.998,245.82,277.803,249.13,210.728,150.386,98.4,96.49,36.977,13.533,1.846,0.122
Iraq,2020,5380.423,5229.807,4559.181,4151.576,3799.871,3365.719,2927.362,2476.321,2150.018,1786.602,1414.995,926.157,669.716,622.677,331.945,241.773,126.606,48.393,11.524,1.67,0.167
Israel,2020,847.828,823.268,737.609,667.454,623.973,573.002,564.708,557.537,543.672,496.505,417.521,377.975,349.957,353.686,288.699,170.961,124.414,83.85,40.126,11.548,1.248
Jordan,2020,1058.122,1154.441,1139.559,1040.294,940.151,862.385,777.482,713.126,606.717,534.628,433.223,322.368,217.239,149.039,111.528,79.223,43.119,16.283,3.741,0.444,0.028
Kuwait,2020,289.689,318.637,308.23,224.996,207.094,237.788,366.397,512.159,514.762,450.607,347.201,214.098,149.263,71,32.152,16.398,7.941,1.992,0.143,0.016,0
Lebanon,2020,566.127,586.03,558.896,576.101,593.172,583.402,522.019,487.627,453.018,409.725,390.373,334.405,249.291,198.476,131.481,80.092,62.774,32.67,8.188,1.425,0.15
Oman,2020,453.666,378.907,315.751,214.553,329.057,756.486,868.013,571.807,400.326,284.643,181.717,133.883,89.584,53.203,28.263,24.795,12.881,5.639,2.459,0.774,0.215
Qatar,2020,135.162,135.374,122.418,105.982,237.443,479.928,495.152,351.028,254.998,206.802,155.604,98.557,53.949,27.847,12.864,3.861,2.294,1.05,0.516,0.142,0.089
Saudi Arabia,2020,2978.337,2977.879,2641.499,2218.782,2333.131,3021.629,3437.937,3542.426,3577.563,2831.226,1891.746,1324.826,818.937,554.584,293.041,200.815,106.173,45.013,14.924,3.088,0.311
