"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TEACHER","PRY_50_OVER","PC","A","2005",,"M"
"AUS","TEACHER","PRY_50_OVER","PC","A","2010",,"M"
"AUS","TEACHER","PRY_50_OVER","PC","A","2011",,"M"
"AUS","TEACHER","PRY_50_OVER","PC","A","2012",,"M"
"AUS","TEACHER","PRY_50_OVER","PC","A","2013",,"M"
"AUS","TEACHER","PRY_50_OVER","PC","A","2014",,"M"
"AUS","TEACHER","PRY_50_OVER","PC","A","2015",,"M"
"AUS","TEACHER","PRY_50_OVER","PC","A","2016",,"M"
"AUS","TEACHER","PRY_50_OVER","PC","A","2017",,"M"
"AUS","TEACHER","PRY_LT30","PC","A","2005",,"M"
"AUS","TEACHER","PRY_LT30","PC","A","2010",,"M"
"AUS","TEACHER","PRY_LT30","PC","A","2011",,"M"
"AUS","TEACHER","PRY_LT30","PC","A","2012",,"M"
"AUS","TEACHER","PRY_LT30","PC","A","2013",,"M"
"AUS","TEACHER","PRY_LT30","PC","A","2014",,"M"
"AUS","TEACHER","PRY_LT30","PC","A","2015",,"M"
"AUS","TEACHER","PRY_LT30","PC","A","2016",,"M"
"AUS","TEACHER","PRY_LT30","PC","A","2017",,"M"
"AUS","TEACHER","SRY_50_OVER","PC","A","2005",,"M"
"AUS","TEACHER","SRY_50_OVER","PC","A","2010",,"M"
"AUS","TEACHER","SRY_50_OVER","PC","A","2011",,"M"
"AUS","TEACHER","SRY_50_OVER","PC","A","2012",,"M"
"AUS","TEACHER","SRY_50_OVER","PC","A","2013",,"M"
"AUS","TEACHER","SRY_50_OVER","PC","A","2014",,"M"
"AUS","TEACHER","SRY_50_OVER","PC","A","2015",,"M"
"AUS","TEACHER","SRY_50_OVER","PC","A","2016",,"M"
"AUS","TEACHER","SRY_50_OVER","PC","A","2017",,"M"
"AUS","TEACHER","SRY_LT30","PC","A","2005",,"M"
"AUS","TEACHER","SRY_LT30","PC","A","2010",,"M"
"AUS","TEACHER","SRY_LT30","PC","A","2011",,"M"
"AUS","TEACHER","SRY_LT30","PC","A","2012",,"M"
"AUS","TEACHER","SRY_LT30","PC","A","2013",,"M"
"AUS","TEACHER","SRY_LT30","PC","A","2014",,"M"
"AUS","TEACHER","SRY_LT30","PC","A","2015",,"M"
"AUS","TEACHER","SRY_LT30","PC","A","2016",,"M"
"AUS","TEACHER","SRY_LT30","PC","A","2017",,"M"
"AUS","TEACHER","TRY_50_OVER","PC","A","2005",38.377,
"AUS","TEACHER","TRY_50_OVER","PC","A","2010",36.309,
"AUS","TEACHER","TRY_50_OVER","PC","A","2011",36.994,
"AUS","TEACHER","TRY_50_OVER","PC","A","2012",40.129,
"AUS","TEACHER","TRY_50_OVER","PC","A","2013",40.145,
"AUS","TEACHER","TRY_50_OVER","PC","A","2014",,"M"
"AUS","TEACHER","TRY_50_OVER","PC","A","2015",,"M"
"AUS","TEACHER","TRY_50_OVER","PC","A","2016",,"M"
"AUS","TEACHER","TRY_50_OVER","PC","A","2017",,"M"
"AUS","TEACHER","TRY_LT30","PC","A","2005",5.837,
"AUS","TEACHER","TRY_LT30","PC","A","2010",8.686,
"AUS","TEACHER","TRY_LT30","PC","A","2011",8.109,
"AUS","TEACHER","TRY_LT30","PC","A","2012",5.672,
"AUS","TEACHER","TRY_LT30","PC","A","2013",5.504,
"AUS","TEACHER","TRY_LT30","PC","A","2014",,"M"
"AUS","TEACHER","TRY_LT30","PC","A","2015",,"M"
"AUS","TEACHER","TRY_LT30","PC","A","2016",,"M"
"AUS","TEACHER","TRY_LT30","PC","A","2017",,"M"
"AUT","TEACHER","PRY_50_OVER","PC","A","2005",,"M"
"AUT","TEACHER","PRY_50_OVER","PC","A","2010",37.031,
"AUT","TEACHER","PRY_50_OVER","PC","A","2011",36.968,
"AUT","TEACHER","PRY_50_OVER","PC","A","2012",36.832,
"AUT","TEACHER","PRY_50_OVER","PC","A","2013",36.83,
"AUT","TEACHER","PRY_50_OVER","PC","A","2014",36.222,
"AUT","TEACHER","PRY_50_OVER","PC","A","2015",37.155,
"AUT","TEACHER","PRY_50_OVER","PC","A","2016",38.517,
"AUT","TEACHER","PRY_50_OVER","PC","A","2017",38.49,
"AUT","TEACHER","PRY_LT30","PC","A","2005",,"M"
"AUT","TEACHER","PRY_LT30","PC","A","2010",9.426,
"AUT","TEACHER","PRY_LT30","PC","A","2011",10.397,
"AUT","TEACHER","PRY_LT30","PC","A","2012",11.079,
"AUT","TEACHER","PRY_LT30","PC","A","2013",12.067,
"AUT","TEACHER","PRY_LT30","PC","A","2014",13.578,
"AUT","TEACHER","PRY_LT30","PC","A","2015",14.297,
"AUT","TEACHER","PRY_LT30","PC","A","2016",14.764,
"AUT","TEACHER","PRY_LT30","PC","A","2017",15.565,
"AUT","TEACHER","SRY_50_OVER","PC","A","2005",,"M"
"AUT","TEACHER","SRY_50_OVER","PC","A","2010",42.232,
"AUT","TEACHER","SRY_50_OVER","PC","A","2011",43.535,
"AUT","TEACHER","SRY_50_OVER","PC","A","2012",44.623,
"AUT","TEACHER","SRY_50_OVER","PC","A","2013",45.597,
"AUT","TEACHER","SRY_50_OVER","PC","A","2014",45.362,
"AUT","TEACHER","SRY_50_OVER","PC","A","2015",45.96,
"AUT","TEACHER","SRY_50_OVER","PC","A","2016",47.399,
"AUT","TEACHER","SRY_50_OVER","PC","A","2017",47.592,
"AUT","TEACHER","SRY_LT30","PC","A","2005",,"M"
"AUT","TEACHER","SRY_LT30","PC","A","2010",6.274,
"AUT","TEACHER","SRY_LT30","PC","A","2011",6.636,
"AUT","TEACHER","SRY_LT30","PC","A","2012",6.705,
"AUT","TEACHER","SRY_LT30","PC","A","2013",6.789,
"AUT","TEACHER","SRY_LT30","PC","A","2014",7.647,
"AUT","TEACHER","SRY_LT30","PC","A","2015",8.149,
"AUT","TEACHER","SRY_LT30","PC","A","2016",8.416,
"AUT","TEACHER","SRY_LT30","PC","A","2017",9.279,
"AUT","TEACHER","TRY_50_OVER","PC","A","2005",,"M"
"AUT","TEACHER","TRY_50_OVER","PC","A","2010",14.134,
"AUT","TEACHER","TRY_50_OVER","PC","A","2011",34.569,
"AUT","TEACHER","TRY_50_OVER","PC","A","2012",35.574,
"AUT","TEACHER","TRY_50_OVER","PC","A","2013",35.973,
"AUT","TEACHER","TRY_50_OVER","PC","A","2014",36.254,
"AUT","TEACHER","TRY_50_OVER","PC","A","2015",36.925,
"AUT","TEACHER","TRY_50_OVER","PC","A","2016",37.926,
"AUT","TEACHER","TRY_50_OVER","PC","A","2017",38.956,
"AUT","TEACHER","TRY_LT30","PC","A","2005",,"M"
"AUT","TEACHER","TRY_LT30","PC","A","2010",68.238,
"AUT","TEACHER","TRY_LT30","PC","A","2011",8.698,
"AUT","TEACHER","TRY_LT30","PC","A","2012",8.423,
"AUT","TEACHER","TRY_LT30","PC","A","2013",8.496,
"AUT","TEACHER","TRY_LT30","PC","A","2014",8.929,
"AUT","TEACHER","TRY_LT30","PC","A","2015",8.872,
"AUT","TEACHER","TRY_LT30","PC","A","2016",8.333,
"AUT","TEACHER","TRY_LT30","PC","A","2017",8.414,
"BEL","TEACHER","PRY_50_OVER","PC","A","2005",19.042,
"BEL","TEACHER","PRY_50_OVER","PC","A","2010",20.04,
"BEL","TEACHER","PRY_50_OVER","PC","A","2011",21.022,
"BEL","TEACHER","PRY_50_OVER","PC","A","2012",22.135,
"BEL","TEACHER","PRY_50_OVER","PC","A","2013",21.598,
"BEL","TEACHER","PRY_50_OVER","PC","A","2014",22.75,
"BEL","TEACHER","PRY_50_OVER","PC","A","2015",23.333,
"BEL","TEACHER","PRY_50_OVER","PC","A","2016",24.708,
"BEL","TEACHER","PRY_50_OVER","PC","A","2017",23.65,
"BEL","TEACHER","PRY_LT30","PC","A","2005",24.301,
"BEL","TEACHER","PRY_LT30","PC","A","2010",24.564,
"BEL","TEACHER","PRY_LT30","PC","A","2011",23.942,
"BEL","TEACHER","PRY_LT30","PC","A","2012",22.929,
"BEL","TEACHER","PRY_LT30","PC","A","2013",22.814,
"BEL","TEACHER","PRY_LT30","PC","A","2014",22.079,
"BEL","TEACHER","PRY_LT30","PC","A","2015",21.603,
"BEL","TEACHER","PRY_LT30","PC","A","2016",19.61,
"BEL","TEACHER","PRY_LT30","PC","A","2017",21.165,
"BEL","TEACHER","SRY_50_OVER","PC","A","2005",29.883,
"BEL","TEACHER","SRY_50_OVER","PC","A","2010",31.549,
"BEL","TEACHER","SRY_50_OVER","PC","A","2011",31.447,
"BEL","TEACHER","SRY_50_OVER","PC","A","2012",31.646,
"BEL","TEACHER","SRY_50_OVER","PC","A","2013",30.27,
"BEL","TEACHER","SRY_50_OVER","PC","A","2014",30.37,
"BEL","TEACHER","SRY_50_OVER","PC","A","2015",30.208,
"BEL","TEACHER","SRY_50_OVER","PC","A","2016",30.022,
"BEL","TEACHER","SRY_50_OVER","PC","A","2017",30.065,
"BEL","TEACHER","SRY_LT30","PC","A","2005",16.525,
"BEL","TEACHER","SRY_LT30","PC","A","2010",17.974,
"BEL","TEACHER","SRY_LT30","PC","A","2011",17.465,
"BEL","TEACHER","SRY_LT30","PC","A","2012",16.83,
"BEL","TEACHER","SRY_LT30","PC","A","2013",16.537,
"BEL","TEACHER","SRY_LT30","PC","A","2014",15.968,
"BEL","TEACHER","SRY_LT30","PC","A","2015",15.849,
"BEL","TEACHER","SRY_LT30","PC","A","2016",15.495,
"BEL","TEACHER","SRY_LT30","PC","A","2017",15.01,
"BEL","TEACHER","TRY_50_OVER","PC","A","2005",36.835,
"BEL","TEACHER","TRY_50_OVER","PC","A","2010",38.253,
"BEL","TEACHER","TRY_50_OVER","PC","A","2011",38.054,
"BEL","TEACHER","TRY_50_OVER","PC","A","2012",37.581,
"BEL","TEACHER","TRY_50_OVER","PC","A","2013",37.47,
"BEL","TEACHER","TRY_50_OVER","PC","A","2014",37.693,
"BEL","TEACHER","TRY_50_OVER","PC","A","2015",38.017,
"BEL","TEACHER","TRY_50_OVER","PC","A","2016",38.73,
"BEL","TEACHER","TRY_50_OVER","PC","A","2017",39.256,
"BEL","TEACHER","TRY_LT30","PC","A","2005",7.274,
"BEL","TEACHER","TRY_LT30","PC","A","2010",6.374,
"BEL","TEACHER","TRY_LT30","PC","A","2011",6.146,
"BEL","TEACHER","TRY_LT30","PC","A","2012",5.791,
"BEL","TEACHER","TRY_LT30","PC","A","2013",5.547,
"BEL","TEACHER","TRY_LT30","PC","A","2014",4.9,
"BEL","TEACHER","TRY_LT30","PC","A","2015",4.807,
"BEL","TEACHER","TRY_LT30","PC","A","2016",4.564,
"BEL","TEACHER","TRY_LT30","PC","A","2017",4.362,
"CAN","TEACHER","PRY_50_OVER","PC","A","2005",26.351,
"CAN","TEACHER","PRY_50_OVER","PC","A","2010",26.351,
"CAN","TEACHER","PRY_50_OVER","PC","A","2011",25.585,
