country,diff(urban-rural)
Chile,9.968012011
Spain,7.176917394
Mexico,6.271742928
United States,5.722212889
Estonia,5.483497279
Latvia,4.625151299
Uruguay,4.410750757
Colombia,3.744111031
Kazakhstan,3.657846141
Greece,3.656691644
Canada,3.541905485
Denmark,3.331509555
Portugal,3.132194162
Ireland,3.088423886
New Zealand,3.018473346
Lithuania,3.01715119
Norway,2.417850155
Finland,2.050911164
Switzerland,1.92920606
Slovenia,1.332357162
Germany,1.225686191
Iceland,1.188893837
Sweden,1.225686191
Australia,1.122465207
Slovak Republic,1.000931053
Italy,0.978741379
Hungary,0.727294822
Poland,0.572411955
Romania,0.545727973
United Kingdom,0.05008774
Czech Republic,-0.014766616
Belgium,-0.448390972
Turkey,-0.563817247
Israel,-0.820792338
Austria,-1.068577401
France,-2.553361576
OECD average,2.235446941
