country,sex,Total,5-9 (age bands),10-14 (age bands),15-19 (age bands),20-24 (age bands),25-29 (age bands),30-34 (age bands),35-39 (age bands),40-44 (age bands),45-49 (age bands),50-54 (age bands),55-59 (age bands),60-64 (age bands),65+ (age bands)
Albania,Total (Sex),0.55,NA,NA,0.177,0.522,0.716,0.764,0.785,0.804,0.81,0.752,0.632,0.396,0.09
Algeria,Total (Sex),0.432,NA,NA,0.124,0.421,0.62,0.604,0.567,0.571,0.543,0.5,0.376,0.094,0.057
American Samoa,Total (Sex),0.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,Total (Sex),0.485,NA,0.001,0.197,0.689,0.823,0.787,0.754,0.727,0.68,0.594,0.486,0.367,0.055
Anguilla,Total (Sex),0.529,NA,NA,0.448,0.868,0.905,0.902,0.905,0.888,0.85,0.795,0.663,0.276,NA
Antigua and Barbuda,Total (Sex),0.514,NA,NA,0.224,0.808,0.892,0.895,0.891,0.894,0.851,0.838,0.759,0.547,0.366
Argentina,Total (Sex),0.589,0,0.013,0.23,0.627,0.779,0.806,0.812,0.815,0.804,0.763,0.693,0.537,0.135
Armenia,Total (Sex),0.634,NA,NA,0.127,0.555,0.681,0.742,0.803,0.818,0.791,0.781,0.739,0.65,0.367
Aruba,Total (Sex),0.638,NA,0.006,0.36,0.672,0.855,0.883,0.893,0.892,0.847,0.824,0.6,0.398,0.074
Australia,Total (Sex),0.649,NA,NA,0.538,0.786,0.831,0.824,0.821,0.839,0.84,0.82,0.73,0.537,0.121
Austria,Total (Sex),0.615,NA,NA,0.413,0.751,0.873,0.886,0.901,0.909,0.901,0.859,0.662,0.236,0.052
Azerbaijan,Total (Sex),0.647,NA,NA,0.127,0.521,0.718,0.818,0.832,0.971,0.965,0.923,0.651,0.376,0.049
Bahamas,Total (Sex),0.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahrain,Total (Sex),0.71,NA,NA,0.05,0.632,0.845,0.839,0.837,0.818,0.767,0.735,0.664,0.484,0.24
Bangladesh,Total (Sex),0.593,NA,0.389,0.394,0.567,0.666,0.708,0.728,0.744,0.761,0.54,0.505,0.45,0.348
Barbados,Total (Sex),0.667,NA,NA,0.195,0.725,0.891,0.922,0.925,0.9,0.904,0.862,0.805,0.617,0.128
Belarus,Total (Sex),0.808,NA,NA,0.154,0.728,0.866,0.881,0.897,0.902,0.888,0.844,0.553,0.234,0.083
Belgium,Total (Sex),0.536,NA,NA,0.074,0.523,0.848,0.875,0.884,0.873,0.854,0.791,0.623,0.237,0.023
Belize,Total (Sex),0.654,NA,0.15,0.401,0.708,0.786,0.837,0.818,0.834,0.804,0.756,0.714,0.575,0.284
Benin,Total (Sex),0.753,NA,0.277,0.283,0.59,0.828,0.902,0.925,0.935,0.939,0.905,0.891,0.809,0.679
Bermuda,Total (Sex),0.761,NA,NA,0.165,0.454,0.727,0.917,0.995,0.886,0.883,0.825,0.775,0.648,0.278
Bhutan,Total (Sex),0.653,NA,NA,0.102,0.533,0.797,0.84,0.846,0.876,0.875,0.835,0.787,0.701,0.36
Bolivia (Plurinational State of),Total (Sex),0.651,NA,0.241,0.404,0.644,0.822,0.853,0.88,0.865,0.86,0.883,0.876,0.74,0.534
Bosnia and Herzegovina,Total (Sex),0.436,NA,NA,0.331,NA,0.686,NA,NA,NA,NA,0.406,NA,NA,0.055
Botswana,Total (Sex),0.591,NA,0.063,0.2,0.578,0.728,0.762,0.781,0.772,0.721,0.679,0.659,0.538,0.304
Brazil,Total (Sex),0.597,NA,0.054,0.409,0.75,0.816,0.83,0.836,0.821,0.787,0.722,0.616,0.46,0.194
Brunei Darussalam,Total (Sex),0.664,NA,NA,0.205,0.739,0.86,0.851,0.827,0.803,0.761,0.688,0.334,0.28,0.113
Bulgaria,Total (Sex),0.539,NA,NA,0.068,0.463,0.744,0.828,0.863,0.87,0.85,0.82,0.714,0.371,0.035
Burkina Faso,Total (Sex),0.873,NA,NA,0.624,0.704,0.769,0.803,0.814,0.816,0.813,0.795,0.763,0.697,0.533
Cambodia,Total (Sex),0.83,NA,0.054,0.598,0.832,0.911,0.928,0.93,0.933,0.875,0.901,0.753,0.793,0.545
Cameroon,Total (Sex),0.69,NA,0.359,0.509,0.635,0.841,0.905,0.922,0.923,0.938,0.91,0.85,0.797,0.615
Canada,Total (Sex),0.661,NA,NA,0.497,0.766,0.848,0.865,0.878,0.875,0.864,0.842,0.738,0.535,0.134
Cabo Verde,Total (Sex),0.591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cayman Islands,Total (Sex),0.83,NA,NA,0.256,0.782,0.936,0.936,0.964,0.961,0.944,0.954,0.841,0.77,0.312
Chile,Total (Sex),0.599,NA,NA,0.177,0.55,0.765,0.826,0.806,0.804,0.8,0.767,0.729,0.591,0.235
China,Total (Sex),0.707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,Total (Sex),0.605,0.001,0.058,0.359,0.732,0.838,0.852,0.855,0.842,0.825,0.775,0.673,0.538,0.286
Congo,Total (Sex),0.531,NA,NA,0.091,0.32,0.615,0.732,0.81,0.795,0.771,0.771,0.702,0.369,0.29
Cook Islands,Total (Sex),0.71,NA,NA,0.456,0.882,0.882,0.891,0.864,0.837,0.822,0.772,0.625,0.346,0.142
Costa Rica,Total (Sex),0.598,NA,0.018,0.236,0.657,0.79,0.81,0.785,0.776,0.762,0.715,0.633,0.46,0.15
Côte d'Ivoire,Total (Sex),0.711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,Total (Sex),0.508,NA,NA,0.118,0.475,0.803,0.891,0.859,0.805,0.788,0.708,0.552,0.272,0.039
Cuba,Total (Sex),0.761,NA,NA,0.155,0.652,0.699,0.756,0.776,0.788,0.745,0.755,0.603,0.243,0.061
Cyprus,Total (Sex),0.633,NA,NA,0.066,0.658,0.899,0.909,0.898,0.873,0.872,0.796,0.711,0.414,0.083
Czech Republic,Total (Sex),0.593,NA,NA,0.059,0.509,0.812,0.825,0.897,0.939,0.953,0.923,0.786,0.314,0.052
Denmark,Total (Sex),0.624,NA,0.016,0.523,0.708,0.809,0.884,0.893,0.903,0.886,0.868,0.825,0.468,0.064
Dominica,Total (Sex),NA,NA,NA,0.233,0.724,0.759,0.767,0.784,0.789,0.782,0.71,0.574,0.363,0.163
Dominican Republic,Total (Sex),0.562,NA,0.026,0.299,0.712,0.821,0.833,0.842,0.819,0.782,0.741,0.64,0.539,0.265
Ecuador,Total (Sex),0.541,NA,0.042,0.23,0.608,0.761,0.765,0.791,0.81,0.775,0.768,0.722,0.637,0.354
Egypt,Total (Sex),0.495,NA,0.007,0.199,0.5,0.628,0.625,0.628,0.636,0.639,0.59,0.566,0.305,0.13
El Salvador,Total (Sex),0.636,NA,0.111,0.365,0.623,0.74,0.784,0.809,0.799,0.78,0.729,0.684,0.6,0.325
Estonia,Total (Sex),0.613,NA,NA,0.095,0.613,0.825,0.851,0.895,0.91,0.907,0.875,0.796,0.528,0.107
